ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
26914,1989,231,Spektakle fabularne TV,Idę łąko ku tobie czyli Iłżecki romans Bolesława Leśmiana,,,,,,"Reż. Andrzej Maj, Stanisław Zajączkowski. II, 21 IX 1989, 48'",
26915,1989,231,Spektakle fabularne TV,Stary portfel,,,,,,"Reż. Kazimierz Kutz. II, 20 IV 1989, 78'",
26916,1989,231,Spektakle fabularne TV,Rio de Janeiro nie istnieje,,,,,,"Adapt. Eugeniusz Biskup, Lesław Skuza. Reż. aut. I, 3 III 1989, 80'",
26917,1989,231,Spektakle fabularne TV,Trzech w linii prostej,,,,,,"Adapt. i reż. Zygmunt Huebner. I, 20 V 1989, 52'. Prem. 1973",
26919,1989,231,Spektakle fabularne TV,Opowieści służki Zerliny,,,,,,"Tł. Anna Maria Linke. Adapt. pt. ""Służąca Zerlina"" i reż.: Stefan Szlachtycz. II, 15 III 1989, 83'",
26918,1989,231,Spektakle fabularne TV,Ostatnie stronice z dziennika kobiety,,,,,,"Tł. Rene Śliwowski. Adapt. pt. ""Natalia"": Marek Kreutz. Reż. Krzysztof Lang. I, 14 IV 1989, 100'. Prem. 1986",
26920,1989,231,Spektakle fabularne TV,Dwie przygody Lemuela Gulliwera,,,,,,"Adapt. pt. ""Prawdziwe przygody Lemuela Gulliwera"" i reż.: Stefan Szlachtycz. II, 10 VIII 1989, 64'",
26921,1989,231,Spektakle fabularne TV,Jaś i Małgosia,,,,,,"Reż. Janusz Ryl-Krystianowski. I, 29 X, 38'. [Przeniesienie z Teatru Animacji w Jeleniej Górze]",
26922,1989,231,Spektakle fabularne TV,Diaboliada,,,,,,"Tł. Irena Lewandowska, Witold Dąbrowski. Reż. Waldemar Śmigasiewicz. II, 30 XI 1989, 69'",
26923,1989,231,Spektakle fabularne TV,Ziemia tragiczna,,,,,,"Tł. Krzysztof Zarzecki. Adapt. i reż. Janusz Zaorski. I, 3 VI 1989, 93'. Prem. 1980",
26924,1989,231,Spektakle fabularne TV,Wesele,,,,,,"Tł. Eugeniusz Szrojt. Reż. Bogdan Hussakowski. II, 19 X 1989, 103'",
26925,1989,231,Spektakle fabularne TV,Litość Boga,,,,,,"Tł. Krystyna Dolatowska. Adapt. i reż. Jan Englert. II, 17 VIII 1989, 92'",
26926,1989,231,Spektakle fabularne TV,Blisko serca,,,,,,"Tł. Michał Ronikier. Adapt. i reż. Leszek Bugajski. I, 15 VII 1989, 59'. Prem. 1980",
26927,1989,231,Spektakle fabularne TV,Długie pożegnanie,,,,,,"Cz. 1-2. Tł. Krzysztof Klinger. Reż. Stefan Szlachtycz. I, 5 VIII 1989, 72'; 12 VIII 1989, 117'",
26929,1989,231,Spektakle fabularne TV,Mówi Chandler,,,,,,"Tł. Ewa Budrewicz. Adapt. fragm. utworów Raymonda Chandlera i reż.: Tomasz Zygadło. I, 1 VII 1989, 116'. Prem. 1986",
26928,1989,231,Spektakle fabularne TV,Kłopoty to moja specjalność,,,,,,"Tł. Michał Ronikier. Adapt. i reż. Marek Piwowski. I, 8 VII 1989, 57'. Prem. 1978",
26930,1989,231,Spektakle fabularne TV,Tajemnica jeziora,,,,,,"Cz. 1-2. Tł. Adam Kaska. Adapt. i reż. Mariusz Malinowski. I, 19 VIII 1989, 74'; 26 VIII 1989, 62'",
26931,1989,231,Spektakle fabularne TV,Żegnaj laleczko,,,,,,"Cz. 1-3. Tł. Ewa Życieńska. Adapt. Katarzyna Sobol. Reż. Laco Adamik. I, 29 X 1989, 60'; 5 XI 1989, 70'; 12 XI 1989, 86'",
