ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,program_tv,emisje
227293,1993,231,Spektakle fabularne TV,Każda chwila,,,,,,"Reż. Marek Nowicki. I, 12 VI 1993, 70'",,Każda chwila,,I,"[{'data': '12 VI 1993', 'czas_min': 70}]"
227294,1993,231,Spektakle fabularne TV,Płatonow,,,,,,"Tł. Adam Tarn. Reż. Andrzej Domalik. I, 5 VII 1993, 156'",,Płatonow,,I,"[{'data': '5 VII 1993', 'czas_min': 156}]"
227295,1993,231,Spektakle fabularne TV,Żegnaj laleczko,,,,,,"Tł. Ewa Życińska. Cz. 1-3. Reż. Laco Admik. II, 11 VI 1993, 60', 18 VI 1993, 76', 25 VI 1993, 86'",,Żegnaj laleczko,,II,"[{'data': '11 VI 1993', 'czas_min': 60}, {'data': '18 VI 1993', 'czas_min': 76}, {'data': '25 VI 1993', 'czas_min': 86}]"
227296,1993,231,Spektakle fabularne TV,Hipnoza,,,,,,"Reż. Antoni Cwojdziński. I, 4 IX 1993, 64'",,Hipnoza,,I,"[{'data': '4 IX 1993', 'czas_min': 64}]"
227297,1993,231,Spektakle fabularne TV,Śmierć po raz drugi,,,,,,"Tł. Anna Frąckiewicz. Reż. Barbara Sałacka. II, 10 IX 1993, 95'",,Śmierć po raz drugi,,II,"[{'data': '10 IX 1993', 'czas_min': 95}]"
227298,1993,231,Spektakle fabularne TV,Palec Boży,,,,,,"Tł. Wanda i Kazimierz Piotrowscy. Adapt. Irena Kilarska-Kobierzewska. Reż. Teresa Kotlarczyk. I, 13 IX 1993, 111'",,Palec Boży,,I,"[{'data': '13 IX 1993', 'czas_min': 111}]"
227299,1993,231,Spektakle fabularne TV,Gorący wiatr,,,,reż,,"Tł. Michał Ronikier. Reż. Krzysztof Bukowski. II, 24 IX 1993, 70'",,Gorący wiatr,,II,"[{'data': '24 IX 1993', 'czas_min': 70}]"
227300,1993,231,Spektakle fabularne TV,Osaczony,,,,,,"Tł. Zofia Uhrynowska. Adapt. Jacek Gąsiorowski. Reż. Witold Orzechowski. II, 1 X 1993, 99'",,Osaczony,,II,"[{'data': '1 X 1993', 'czas_min': 99}]"
227301,1993,231,Spektakle fabularne TV,Cyprian Kamil Norwid. Widowisko poetyckie,,,,,,"Reż. Henryk Talar. I, 20 X 1993, 37'",,Cyprian Kamil Norwid. Widowisko poetyckie,,I,"[{'data': '20 X 1993', 'czas_min': 37}]"
227302,1993,231,Spektakle fabularne TV,Aplikant,,,,,,"Tł. Stanisław Gogłuska. Adapt. i reż. Marek Gracz. II, 5 XI 1993, 91'",,Aplikant,,II,"[{'data': '5 XI 1993', 'czas_min': 91}]"
227304,1993,231,Spektakle fabularne TV,Wieczór z nieznajomym,,,,,,"Tł. Kazimierz Piotrowski. Reż. Krzysztof Gradowski. II, 12 XI 1993, 60'",,Wieczór z nieznajomym,,II,"[{'data': '12 XI 1993', 'czas_min': 60}]"
227305,1993,231,Spektakle fabularne TV,Świadek oskarżenia,,,,,,"Tł., sc. i reż. Marek Piestrak. II, 19 XI 1993, 76'",,Świadek oskarżenia,,II,"[{'data': '19 XI 1993', 'czas_min': 76}]"
227306,1993,231,Spektakle fabularne TV,Lady i generał,,,,,,"Tł. Mira Michałowska. Reż. Andrzej Łapicki. I, 27 XII 1993, 85'",,Lady i generał,,I,"[{'data': '27 XII 1993', 'czas_min': 85}]"
227307,1993,231,Spektakle fabularne TV,Charakter przestępstwa,,,,,,"Reż. aut. II, 14 XII 1993, 30'",,Charakter przestępstwa,,II,"[{'data': '14 XII 1993', 'czas_min': 30}]"
227308,1993,231,Spektakle fabularne TV,O szkodliwości tytoniu,,,,,,"Tł. Jerzy Pomianowski. Reż. Tomasz Zygadło. II, 21 XII 1993, 16'",,O szkodliwości tytoniu,,II,"[{'data': '21 XII 1993', 'czas_min': 16}]"
227309,1993,231,Spektakle fabularne TV,Marlena,,,,,,"Reż. Aleksandra Domańska. II, 3 III 1993, 60'",,Marlena,,II,"[{'data': '3 III 1993', 'czas_min': 60}]"
227737,1993,231,Spektakle fabularne TV,Muzyka II,,,,,,"Tł. Barbara Grzegorzewska. Reż. Andrzej Barański. I, 5 IV 1993, 75'; [powtórna emisja:] 7 VIII 1993",,Muzyka II,,I,"[{'data': '5 IV 1993', 'czas_min': 75}, {'data': '7 VIII 1993', 'czas_min': None}]"
227739,1993,231,Spektakle fabularne TV,Żołnierz królowej Madagaskaru,,,,,,"Adapt. Julian Tuwim. Reż. Jerzy Gruza. I, 27 IV 1993",,Żołnierz królowej Madagaskaru,,I,"[{'data': '27 IV 1993', 'czas_min': None}]"
227740,1993,231,Spektakle fabularne TV,Mamut,,,,,,"Reż. Feliks Falk. II, 9 VI 1993, 80'",,Mamut,,II,"[{'data': '9 VI 1993', 'czas_min': 80}]"
227741,1993,231,Spektakle fabularne TV,W biały dzień,,,,,,"Tł. Kazimierz Piotrowski. Cz. 1-3. Reż. Jan Bratkowski. II, 2 VII 1993, 64'; 9 VII 1993, 64'; 16 VII 1993, 55'",,W biały dzień,,II,"[{'data': '2 VII 1993', 'czas_min': 64}, {'data': '9 VII 1993', 'czas_min': 64}, {'data': '16 VII 1993', 'czas_min': 55}]"
227742,1993,231,Spektakle fabularne TV,Harry Brent,,,,,,"Cz. 1-3. Tł. Kazimierz Piotrowski. Reż. Andrzej Zakrzewski. II, 23 VII 1993, 65'; 30 VII 1993, 75'; 6 VIII 1993, 70'",,Harry Brent,,II,"[{'data': '23 VII 1993', 'czas_min': 65}, {'data': '30 VII 1993', 'czas_min': 75}, {'data': '6 VIII 1993', 'czas_min': 70}]"
