"ZA_ZAPIS_ID","ZA_RO_ROK","ZA_DZ_DZIAL1_ID","DZ_NAZWA","ZA_RZ_RODZAJ1_ID","RZ_NAZWA","ZA_TYTUL","ZA_TYTUL_CALOSCI","ZA_OPIS_CALOSCI","ZA_TYTUL_ORYGINALU","ZA_TE_TEATR_ID","TE_NAZWA","ZA_OPIS_WSPOLTWORCOW","ZA_JEZYK_ORYGINALU","ZA_TYTUL_ADAPT_DZIELA","ZA_NAZWA_ADAPT_DZIELA","ZA_OPIS_ADAPT_DZIELA","ZA_ADNOTACJE"
224906,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Księżniczka Turandot. Prem. 1993,,,,43,Teatr Rozrywki,Tł. Emil Zegadłowicz. Reż. Dariusz Miłkowski,,,,,
224908,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Wesele. Prem. 1993,,,,44,Teatr Dramatyczny im. A. Mickiewicza (do 1993: Państwowy Teatr Dramatyczny im. Adama Mickiewicza),Reż. Ryszard Krzyszycha,,,,,
224911,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Łotrzyce. Prem. 1993,,,,44,Teatr Dramatyczny im. A. Mickiewicza (do 1993: Państwowy Teatr Dramatyczny im. Adama Mickiewicza),Reż. Barbara Katarzyna Radecka,,,,,
224912,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Opera za trzy grosze. Prem. 1993,,,,45,Teatr im. A. Sewruka (do 2007: Teatr Dramatyczny),"Tł. Barbara Witek-Swinarska, Bruno Winawer, Władysław Broniewski. Reż. Józef Jasielski",,,,,
224914,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Straszny smok. Prem. 1993,,,,45,Teatr im. A. Sewruka (do 2007: Teatr Dramatyczny),Reż. Jacek Medwecki,,,,,
224916,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Proces. Prem. 1993,,,,46,"Teatr ""Wybrzeże""",Tł. Bruno Schulz. Adapt. i reż. Ryszard Major,,,,,
224917,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Baśń o dwóch nieustraszonych rycerzach. Prem. 1993,,,,830,"Miejski Teatr  ""Miniatura"" (do 1998: Teatr Lalki i Aktora ""Miniatura"")",Reż. Bohdan Łoboda,,,,,
224919,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Niech żyje Święty Mikołaj. Prem. 1993,,,,830,"Miejski Teatr  ""Miniatura"" (do 1998: Teatr Lalki i Aktora ""Miniatura"")",Sc. i reż. Wojciech Kobrzyński,,,,,
224922,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ferdydurke. Prem. 1993,,,,2341,Teatr Miejski im. W. Gombrowicza (do 1991: Teatr Dramatyczny; do 2000: Teatr Miejski),Adapt. i reż. Waldemar Śmigasiewicz,,,,,
224925,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Rzeźnia. Prem. 1993,,,,833,Teatr im. Aleksandra Fredry,Adapt. i reż. Józef Jasielski,,,,,
224927,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Tango. Prem. 1993,,,,51,Teatr im. J. Osterwy,Reż. Ryszard Major,,,,,
224931,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Betlejem polskie. Prem. 1993,,,,51,Teatr im. J. Osterwy,Reż. Waldemar Modestowicz,,,,,
224932,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Okruchy czułości. Prem. 1993,,,,51,Teatr im. J. Osterwy,"Tł. Magdalena Ciesielska, Włodzimierz Kaczkowski. Reż. Grzegorz Stanisławiak",,,,,
224933,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Calineczka. Prem. 1993,,,,837,Teatr im. C. K. Norwida,Reż. Jacek Medwecki,,,,Wg Hansa Christiana Andersena,
224938,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,"Historie żywota świętego Marcina, biskupa z Tours w Turyngii. Prem. 1993",,,,837,Teatr im. C. K. Norwida,Tł. Adriana Lewańska. Reż. Jan Skotnicki,,,,,
224941,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Igraszki z diabłem. Prem. 1993,,,,837,Teatr im. C. K. Norwida,Tł. Zdzisław Hierowski. Reż. Zygmunt Bielawski,,,,,
224949,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Szklana menażeria. Prem. 1993,,,,837,Teatr im. C. K. Norwida,Tł. Kazimierz Piotrowski. Reż. Robert Czechowski,,,,,
224953,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Rycerz z krainy nadziei. Prem. 1993,,,,838,Jeleniogórski Teatr Animacji (do 1994: Państwowy Teatr Animacji),Tł. Andrzej Kempa. Reż. aut.,,,,,
225000,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Wujaszek Wania. Prem. 1993,,,,839,Teatr im. W. Bogusławskiego,Tł. Artur Sandauer. reż. Jan Bratkowski,,,,,
