ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,uwagi
168380,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Śmierć i dziewczyna. Prem. 1992,,104,Teatr Studio im. St. I. Witkiewicza (d. Centrum Sztuki Studio im. S.I. Witkiewicza - Teatr. Galeria),Tł. Małgorzata Semil. Reż. Jerzy Skolimowski,,,,Śmierć i dziewczyna,1992.0,
168381,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Lautreamont - sny. Prem. 1992,,104,Teatr Studio im. St. I. Witkiewicza (d. Centrum Sztuki Studio im. S.I. Witkiewicza - Teatr. Galeria),"Sc. Agnieszka Lipiec-Wróblewska, Maciej Treliński. Reż. Mariusz Treliński",,"Na motywach ""Piesni Maldorora""",,Lautreamont - sny,1992.0,
161259,1992,449,"Teatry od 1945 r. (omówienia, repertuar)","Śluby panieńskie, czyli magnetyzm serca. Prem. 1992",,839,Teatr im. W. Bogusławskiego,Reż. Zbigniew Lesień,,,,"Śluby panieńskie, czyli magnetyzm serca",1992.0,
161264,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Porwanie Sabinek. Prem. 1992,,840,Teatr Śląski im. S. Wyspiańskiego,Adapt. i reż. Michał Rosiński,,,,Porwanie Sabinek,1992.0,
161266,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Fantazy. Prem. 1992,,840,Teatr Śląski im. S. Wyspiańskiego,Reż. Jerzy Zegalski,,,,Fantazy,1992.0,
161351,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wujaszek Wania. Prem. 1992,,840,Teatr Śląski im. S. Wyspiańskiego,Tł. Artur Sandauer. Reż. Jerzy Zegalski,,,,Wujaszek Wania,1992.0,
161353,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Letni dzień. Prem. 1992,,840,Teatr Śląski im. S. Wyspiańskiego,Reż. Bogdan Tosza,,,,Letni dzień,1992.0,
161355,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Próby dla siedmiu. Prem. 1992,,840,Teatr Śląski im. S. Wyspiańskiego,Reż. Bogdan Tosza,,,,Próby dla siedmiu,1992.0,
168631,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",W inne czasy. Prem. 1992,,903,"Teatr ""Syrena""",Reż. Krzysztof Jaślar,,,,W inne czasy,1992.0,
168632,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Zamek. Prem. 1992,,2345,Teatr Szwedzka 2/4,"Tł. Krzysztof Radziwiłł, Kazimierz Truchanowski. Adapt. i reż. Henryk Baranowski",,,,Zamek,1992.0,
168633,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wdowy. Prem. 1992,,904,Teatr Współczesny*,Reż. Erwin Axer,,,,Wdowy,1992.0,
168634,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",W nocy na starym rynku. Prem. 1992,,905,Teatr Żydowski im. Estery Rachel i Idy Kamińskich,Sc. i reż. Szymon Szurmiej,,Na motywaqch dram. Icchaaaka Lejbusza Pereca,,W nocy na starym rynku,1992.0,
168636,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Czarodziej z ziemi Oz. Prem. 1992,,906,"Teatr Lalek ""Guliwer""",Tł. Irena Dragan. Reż. Włodzimierz Fełenczak,,,,Czarodziej z ziemi Oz,1992.0,
168637,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Cztery razy smok. Prem. 1992,,926,"Teatr ""Lalka""",Tł. Jan Puget. Reż. Karol Fischer,,,,Cztery razy smok,1992.0,
168640,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Czerwony Kapturek. Prem. 1992,,926,"Teatr ""Lalka""",Tł. Joanna Rogacka. reż. Karol Fischer,,,,Czerwony Kapturek,1992.0,
168665,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Pierwsza młodość. Prem. 1992,,382,Teatr Polski,Reż. Wojciech Adamczyk. Tł. Dorota Żołnierczyk,,,,Pierwsza młodość,1992.0,
